"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: delay","Param: size"
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"81,190572","12,419237","ops/ms",0,1000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"22,198757","12,638216","ops/ms",0,10000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"3,768675","3,273194","ops/ms",0,100000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,165130","0,003638","ops/ms",5,1000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,164792","0,003369","ops/ms",5,10000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,123990","0,014031","ops/ms",5,100000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,063791","0,000053","ops/ms",10,1000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,063844","0,000160","ops/ms",10,10000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,057947","0,001432","ops/ms",10,100000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,032214","0,000029","ops/ms",20,1000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,032214","0,000026","ops/ms",20,10000
"Benchmark.StatisticBenchmark.sequentialStreamJobPosition","thrpt",1,25,"0,032166","0,000098","ops/ms",20,100000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"33,074992","6,622998","ops/ms",0,1000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"8,300731","2,202846","ops/ms",0,10000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,471128","0,286905","ops/ms",0,100000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,170644","0,001006","ops/ms",5,1000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,161012","0,005506","ops/ms",5,10000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,140498","0,016983","ops/ms",5,100000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,064440","0,000057","ops/ms",10,1000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,064439","0,000039","ops/ms",10,10000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,058533","0,005040","ops/ms",10,100000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,032221","0,000025","ops/ms",20,1000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,032229","0,000021","ops/ms",20,10000
"Benchmark.StatisticBenchmark.spliteratorJobPosition","thrpt",1,25,"0,031863","0,000570","ops/ms",20,100000
